1.535.128.731;[sample number];[timestamp per row];[timestamp from unix to excel friendly with timezone offset];[second];[binomial];[label];;FECHA Y HORA INICIAL;;
4;;;;;;;;11:38:51;;
3.886.543;168;1535128773,00;11:39:33,00;42;0;nonseizure;;;;
3.889.105;169;1535128773,25;11:39:33,25;42,25;0;nonseizure;;;;
3.895.509;170;1535128773,50;11:39:33,50;42,5;0;nonseizure;;;;
3.886.543;171;1535128773,75;11:39:33,75;42,75;0;nonseizure;;;;
3.882.701;172;1535128774,00;11:39:34,00;43;0;nonseizure;;;;
3.862.208;173;1535128774,25;11:39:34,25;43,25;0;nonseizure;;;;
3.849.400;174;1535128774,50;11:39:34,50;43,5;0;nonseizure;;;;
3.840.435;175;1535128774,75;11:39:34,75;43,75;0;nonseizure;;;;
3.826.346;176;1535128775,00;11:39:35,00;44;0;nonseizure;;;;
3.812.257;177;1535128775,25;11:39:35,25;44,25;0;nonseizure;;;;
3.805.853;178;1535128775,50;11:39:35,50;44,5;0;nonseizure;;;;
3.794.326;179;1535128775,75;11:39:35,75;44,75;0;nonseizure;;;;
3.784.080;180;1535128776,00;11:39:36,00;45;0;nonseizure;;;;
3.769.991;181;1535128776,25;11:39:36,25;45,25;0;nonseizure;;;;
3.761.025;182;1535128776,50;11:39:36,50;45,5;0;nonseizure;;;;
3.758.464;183;1535128776,75;11:39:36,75;45,75;0;nonseizure;;;;
3.748.218;184;1535128777,00;11:39:37,00;46;0;nonseizure;;;;
3.734.129;185;1535128777,25;11:39:37,25;46,25;0;nonseizure;;;;
3.735.410;186;1535128777,50;11:39:37,50;46,5;0;nonseizure;;;;
3.731.567;187;1535128777,75;11:39:37,75;46,75;0;nonseizure;;;;
3.734.129;188;1535128778,00;11:39:38,00;47;0;nonseizure;;;;
3.739.252;189;1535128778,25;11:39:38,25;47,25;0;nonseizure;;;;
3.727.725;190;1535128778,50;11:39:38,50;47,5;0;nonseizure;;;;
3.718.759;191;1535128778,75;11:39:38,75;47,75;0;nonseizure;;;;
3.705.951;192;1535128779,00;11:39:39,00;48;0;nonseizure;;;;
3.691.863;193;1535128779,25;11:39:39,25;48,25;0;nonseizure;;;;
3.686.740;194;1535128779,50;11:39:39,50;48,5;0;nonseizure;;;;
3.673.932;195;1535128779,75;11:39:39,75;48,75;0;nonseizure;;;;
3.670.089;196;1535128780,00;11:39:40,00;49;0;nonseizure;;;;
3.654.720;197;1535128780,25;11:39:40,25;49,25;0;nonseizure;;;;
3.645.754;198;1535128780,50;11:39:40,50;49,5;0;nonseizure;;;;
3.664.966;199;1535128780,75;11:39:40,75;49,75;0;nonseizure;;;;
3.718.759;200;1535128781,00;11:39:41,00;50;0;nonseizure;;;;
3.768.710;201;1535128781,25;11:39:41,25;50,25;0;nonseizure;;;;
3.819.942;202;1535128781,50;11:39:41,50;50,5;0;nonseizure;;;;
3.858.366;203;1535128781,75;11:39:41,75;50,75;0;nonseizure;;;;
3.898.070;204;1535128782,00;11:39:42,00;51;0;nonseizure;;;;
3.882.701;205;1535128782,25;11:39:42,25;51,25;0;nonseizure;;;;
3.940.336;206;1535128782,50;11:39:42,50;51,5;0;nonseizure;;;;
3.946.740;207;1535128782,75;11:39:42,75;51,75;0;nonseizure;;;;
3.935.213;208;1535128783,00;11:39:43,00;52;0;nonseizure;;;;
3.942.898;209;1535128783,25;11:39:43,25;52,25;0;nonseizure;;;;
4.065.854;210;1535128783,50;11:39:43,50;52,5;0;nonseizure;;;;
4.362.998;211;1535128783,75;11:39:43,75;52,75;0;nonseizure;;;;
4.579.451;212;1535128784,00;11:39:44,00;53;0;nonseizure;;;;
5.005.413;213;1535128784,25;11:39:44,25;53,25;0;nonseizure;;;;
5.232.762;214;1535128784,50;11:39:44,50;53,5;0;nonseizure;;;;
5.318.575;215;1535128784,75;11:39:44,75;53,75;0;nonseizure;;;;
5.335.225;216;1535128785,00;11:39:45,00;54;0;nonseizure;;;;
5.283.993;217;1535128785,25;11:39:45,25;54,25;0;nonseizure;;;;
5.196.899;218;1535128785,50;11:39:45,50;54,5;0;nonseizure;;;;
5.094.436;219;1535128785,75;11:39:45,75;54,75;0;nonseizure;;;;
5.003.500;220;1535128786,00;11:39:46,00;55;0;nonseizure;;;;
4.926.652;221;1535128786,25;11:39:46,25;55,25;0;nonseizure;;;;
4.879.263;222;1535128786,50;11:39:46,50;55,5;0;nonseizure;;;;
4.847.244;223;1535128786,75;11:39:46,75;55,75;0;nonseizure;;;;
4.819.066;224;1535128787,00;11:39:47,00;56;0;nonseizure;;;;
4.793.450;225;1535128787,25;11:39:47,25;56,25;0;nonseizure;;;;
4.769.115;226;1535128787,50;11:39:47,50;56,5;0;nonseizure;;;;
4.729.411;227;1535128787,75;11:39:47,75;56,75;0;nonseizure;;;;
4.701.233;228;1535128788,00;11:39:48,00;57;0;nonseizure;;;;
4.669.214;229;1535128788,25;11:39:48,25;57,25;0;nonseizure;;;;
4.643.598;230;1535128788,50;11:39:48,50;57,5;0;nonseizure;;;;
4.616.701;231;1535128788,75;11:39:48,75;57,75;0;nonseizure;;;;
4.596.209;232;1535128789,00;11:39:49,00;58;0;nonseizure;;;;
4.568.031;233;1535128789,25;11:39:49,25;58,25;0;nonseizure;;;;
4.560.346;234;1535128789,50;11:39:49,50;58,5;0;nonseizure;;;;
4.532.169;235;1535128789,75;11:39:49,75;58,75;0;nonseizure;;;;
4.514.238;236;1535128790,00;11:39:50,00;59;0;nonseizure;;;;
4.497.588;237;1535128790,25;11:39:50,25;59,25;0;nonseizure;;;;
4.493.745;238;1535128790,50;11:39:50,50;59,5;0;nonseizure;;;;
4.533.450;239;1535128790,75;11:39:50,75;59,75;0;nonseizure;;;;
4.601.332;240;1535128791,00;11:39:51,00;60;0;nonseizure;;;;
4.657.687;241;1535128791,25;11:39:51,25;60,25;0;nonseizure;;;;
4.698.672;242;1535128791,50;11:39:51,50;60,5;0;nonseizure;;;;
4.697.391;243;1535128791,75;11:39:51,75;60,75;0;nonseizure;;;;
4.670.495;244;1535128792,00;11:39:52,00;61;0;nonseizure;;;;
4.634.632;245;1535128792,25;11:39:52,25;61,25;0;nonseizure;;;;
4.591.085;246;1535128792,50;11:39:52,50;61,5;0;nonseizure;;;;
