@RELATION <eda-dataset-normc>

@ATTRIBUTE scl_mean NUMERIC
@ATTRIBUTE scl_correlation NUMERIC
@ATTRIBUTE scr_mean NUMERIC
@ATTRIBUTE scr_std NUMERIC
@ATTRIBUTE eda_slope NUMERIC
@ATTRIBUTE eda_greater_v NUMERIC
@ATTRIBUTE eda_difference NUMERIC
@ATTRIBUTE eda_mean NUMERIC
@ATTRIBUTE eda_variance NUMERIC
@ATTRIBUTE eda_skewness NUMERIC
@ATTRIBUTE eda_kurtosis NUMERIC

@ATTRIBUTE class {0,1}

@DATA
0.0049094,0.0063554,0.005752,0.002525,0.0035972,0.0053482,0.0037953,0.004945,0.0025754,0.004374,0.004374,0
0.0049138,0.006358,0.0053379,0.0038205,0.0011991,0.0053482,0,0.0049482,0.0024748,0.0031833,0.0031833,0
0.004918,0.006358,0.0050421,0.0046435,-0.0047962,0.0053482,-0.0037953,0.0049515,0.002334,0.0020597,0.0020597,0
0.0049221,0.0063576,0.0058487,0.0080851,0.0059953,0.0053482,0.0075906,0.0049581,0.0024145,1.7613e-16,1.7613e-16,0
0.0049262,0.0063575,0.0059852,0.0083921,0.0083934,0.0053482,0.0037953,0.0049646,0.0032997,0.00047125,0.00047125,0
0.0049301,0.0063574,0.0063052,0.0074353,0.0047962,0.0053482,0.0075906,0.0049744,0.0036016,-0.00093502,-0.00093502,0
0.004934,0.0063574,0.0068014,0.0051925,-0.0071944,0,-0.0075906,0.0049941,0.0045673,0.0072238,0.0072238,0
0.0049379,0.0063578,0.0060018,0.003127,1.3264e-17,0,0,0.0049908,0.0042655,0.0089136,0.0089136,0
0.0049417,0.0063574,0.0055293,0.00091574,-1.257e-16,0,0,0.0049941,0.0040844,0.008388,0.008388,0
0.0049455,0.0063587,0.0054359,0.0012758,7.0804e-17,0,0,0.0049974,0.0038631,0.0080355,0.0080355,0
0.0049493,0.0063587,0.0052166,0.00073584,-1.899e-17,0,0,0.0050007,0.0036016,0.007909,0.007909,0
0.004953,0.0063587,0.0056089,0.0033701,0.0035972,0.0053482,0.0037953,0.0050072,0.0034406,0.0064233,0.0064233,0
0.0049568,0.0063587,0.006302,0.0055263,0.0083934,0.010696,0.0075906,0.0050105,0.0030583,0.0070771,0.0070771,0
0.0049605,0.0063587,0.0074382,0.0069689,0.0083934,0.010696,0.0075906,0.0050138,0.0026358,0.008606,0.008606,0
0.0049643,0.0063587,0.0089256,0.0062756,0.010792,0.010696,0.011386,0.0050203,0.0021529,0.010473,0.010473,0
0.004968,0.0063587,0.0089751,0.0060142,-0.0011991,0.0053482,-0.0037953,0.0050236,0.0020925,0.0093318,0.0093318,0
0.0049718,0.0063587,0.0082917,0.0089748,-0.0071944,0.0053482,-0.0037953,0.0050236,0.0020925,0.0093318,0.0093318,0
0.0049756,0.0063574,0.0073062,0.0092981,-0.010792,0,-0.011386,0.0050334,0.0045673,0.0087864,0.0087864,0
0.0049795,0.0063578,0.0060024,0.0029061,1.1274e-17,0,0,0.0050236,0.0035412,0.013395,0.013395,0
0.0049833,0.0063574,0.0059032,0.0022062,0.0035972,0.0053482,0.0037953,0.0050236,0.0035412,0.013395,0.013395,0
0.0049871,0.0063587,0.0058946,0.0022409,0.0011991,0.0053482,0,0.0050269,0.0034406,0.012697,0.012697,0
0.0049909,0.0063587,0.0056979,0.002946,-0.0011991,0.0053482,0,0.0050301,0.0032997,0.012252,0.012252,0
0.0049946,0.0063587,0.0059451,0.0035278,1.0951e-17,0.0053482,0,0.0050334,0.0031187,0.01211,0.01211,0
0.0049983,0.0063573,0.0057636,0.0029705,0.0047962,0.0053482,0.0037953,0.0050334,0.0031187,0.01211,0.01211,0
0.005002,0.0063577,0.0063546,0.004351,0.0035972,0.0053482,0.0037953,0.0050334,0.0031187,0.01211,0.01211,0
0.0050056,0.0063573,0.0077351,0.0068609,0.010792,0.0053482,0.011386,0.0050334,0.0031187,0.01211,0.01211,0
0.0050093,0.0063587,0.0073849,0.0080905,1.4257e-16,0.0053482,-0.0037953,0.0050334,0.0031187,0.01211,0.01211,0
0.005013,0.0063573,0.0066966,0.01104,-0.0083934,0.0053482,-0.0037953,0.0050334,0.0031187,0.01211,0.01211,0
0.0050167,0.0063577,0.0061594,0.010844,-0.010792,0.0053482,-0.011386,0.0050269,0.0039235,0.0089548,0.0089548,0
0.0050203,0.0063577,0.004905,0.0038594,0.0047962,0.0053482,0.0037953,0.005017,0.0012072,-0.0057498,-0.0057498,0
0.0050238,0.0063572,0.0049004,0.0038503,0.0035972,0.0053482,0.0037953,0.005017,0.0012072,-0.0057498,-0.0057498,0
0.0050273,0.0063587,0.0052626,0.0012743,1.3844e-16,0,0,0.005017,0.0012072,-0.0057498,-0.0057498,0
0.0050308,0.0063572,0.0046153,0.0040365,-0.0035972,0,-0.0037953,0.0050203,0.00167,-0.0017506,-0.0017506,0
0.0050343,0.0063551,0.0039216,0.0048077,-0.0047962,0,-0.0037953,0.0050138,0.0021529,-0.00081596,-0.00081596,0
