1.535.125.280;[sample number];[timestamp per row];[timestamp from unix to excel friendly with timezone offset];[second];[binomial];[label];;FECHA Y HORA INICIAL;;;
4.703.712;290;1535125352,50;10:42:32,50;72,5;0;nonseizure;;;;;
4.715.241;291;1535125352,75;10:42:32,75;72,75;0;nonseizure;;;;;
4.703.712;292;1535125353,00;10:42:33,00;73;0;nonseizure;;;;;
4.688.341;293;1535125353,25;10:42:33,25;73,25;0;nonseizure;;;;;
4.662.723;294;1535125353,50;10:42:33,50;73,5;0;nonseizure;;;;;
4.637.104;295;1535125353,75;10:42:33,75;73,75;0;nonseizure;;;;;
4.623.013;296;1535125354,00;10:42:34,00;74;0;nonseizure;;;;;
4.603.799;297;1535125354,25;10:42:34,25;74,25;0;nonseizure;;;;;
4.583.304;298;1535125354,50;10:42:34,50;74,5;0;nonseizure;;;;;
4.573.056;299;1535125354,75;10:42:34,75;74,75;0;nonseizure;;;;;
4.560.247;300;1535125355,00;10:42:35,00;75;0;nonseizure;;;;;
4.558.966;301;1535125355,25;10:42:35,25;75,25;0;nonseizure;;;;;
4.541.033;302;1535125355,50;10:42:35,50;75,5;0;nonseizure;;;;;
4.533.347;303;1535125355,75;10:42:35,75;75,75;0;nonseizure;;;;;
4.529.504;304;1535125356,00;10:42:36,00;76;0;nonseizure;;;;;
4.538.471;305;1535125356,25;10:42:36,25;76,25;0;nonseizure;;;;;
4.590.990;306;1535125356,50;10:42:36,50;76,5;0;nonseizure;;;;;
4.658.880;307;1535125356,75;10:42:36,75;76,75;0;nonseizure;;;;;
4.706.275;308;1535125357,00;10:42:37,00;77;0;nonseizure;;;;;
4.717.803;309;1535125357,25;10:42:37,25;77,25;0;nonseizure;;;;;
4.715.241;310;1535125357,50;10:42:37,50;77,5;0;nonseizure;;;;;
4.701.151;311;1535125357,75;10:42:37,75;77,75;0;nonseizure;;;;;
4.674.251;312;1535125358,00;10:42:38,00;78;0;nonseizure;;;;;
4.646.070;313;1535125358,25;10:42:38,25;78,25;0;nonseizure;;;;;
4.624.294;314;1535125358,50;10:42:38,50;78,5;0;nonseizure;;;;;
4.594.832;315;1535125358,75;10:42:38,75;78,75;0;nonseizure;;;;;
4.580.742;316;1535125359,00;10:42:39,00;79;0;nonseizure;;;;;
4.565.371;317;1535125359,25;10:42:39,25;79,25;0;nonseizure;;;;;
4.552.561;318;1535125359,50;10:42:39,50;79,5;0;nonseizure;;;;;
4.538.471;319;1535125359,75;10:42:39,75;79,75;0;nonseizure;;;;;
4.532.066;320;1535125360,00;10:42:40,00;80;0;nonseizure;;;;;
4.525.661;321;1535125360,25;10:42:40,25;80,25;0;nonseizure;;;;;
4.525.661;322;1535125360,50;10:42:40,50;80,5;0;nonseizure;;;;;
4.516.695;323;1535125360,75;10:42:40,75;80,75;0;nonseizure;;;;;
4.503.885;324;1535125361,00;10:42:41,00;81;0;nonseizure;;;;;
4.533.347;325;1535125361,25;10:42:41,25;81,25;0;nonseizure;;;;;
4.615.327;326;1535125361,50;10:42:41,50;81,5;0;nonseizure;;;;;
4.676.813;327;1535125361,75;10:42:41,75;81,75;0;nonseizure;;;;;
4.716.522;328;1535125362,00;10:42:42,00;82;0;nonseizure;;;;;
4.742.141;329;1535125362,25;10:42:42,25;82,25;0;nonseizure;;;;;
4.728.051;330;1535125362,50;10:42:42,50;82,5;0;nonseizure;;;;;
4.717.803;331;1535125362,75;10:42:42,75;82,75;0;nonseizure;;;;;
4.685.780;332;1535125363,00;10:42:43,00;83;0;nonseizure;;;;;
4.664.003;333;1535125363,25;10:42:43,25;83,25;0;nonseizure;;;;;
4.640.946;334;1535125363,50;10:42:43,50;83,5;0;nonseizure;;;;;
4.621.732;335;1535125363,75;10:42:43,75;83,75;0;nonseizure;;;;;
4.610.204;336;1535125364,00;10:42:44,00;84;0;nonseizure;;;;;
